PLAYER,GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
alex-len,8,12,9,1,2,0,1,3,0,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
alex-len,9,13,4,4,0,0,0,0,2,21.0,27.0,-1.9,118.6,0.541,0.133,0.306,21.7,120.4,0.580,0.142,0.282,19.9
alex-len,10,2,0,0,0,0,0,0,0,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
alperen-sengun-c,0,29,13,8,2,0,0,4,24,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
alperen-sengun-c,1,34,10,5,2,2,0,3,10,28.0,21.0,3.3,117.5,0.559,0.135,0.275,21.4,114.3,0.544,0.140,0.262,20.0
alperen-sengun-c,2,40,12,7,4,2,1,4,31,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
alperen-sengun-c,3,28,11,2,3,0,0,2,15,19.0,28.0,-1.0,116.0,0.540,0.129,0.284,17.8,117.0,0.547,0.125,0.268,20.6
alperen-sengun-c,4,25,6,7,2,0,1,2,11,10.0,37.0,-11.9,110.6,0.529,0.139,0.259,17.0,122.5,0.586,0.138,0.275,21.3
alperen-sengun-c,5,40,10,8,2,1,0,5,30,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
alperen-sengun-c,6,36,12,10,6,1,0,2,24,37.0,12.0,8.9,121.2,0.571,0.126,0.271,19.9,112.3,0.528,0.119,0.260,14.9
alperen-sengun-c,7,42,14,6,1,1,1,4,37,24.0,26.0,-3.2,116.3,0.545,0.157,0.321,20.8,119.5,0.561,0.122,0.273,18.7
alperen-sengun-c,8,40,10,5,3,1,4,3,18,32.0,17.0,6.8,119.8,0.545,0.135,0.328,21.2,113.0,0.543,0.134,0.250,17.7
