PLAYER,GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
andre-drummond,5,MEM,19,10,1,0,4,0,2,15
andre-drummond,6,TOR,10,4,0,1,0,1,1,5
andre-drummond,7,CLE,22,10,1,2,2,2,2,8
andre-drummond,8,SAS,17,10,1,0,1,1,2,7
andre-drummond,9,GSW,12,4,1,0,0,1,0,5
andre-drummond,10,HOU,13,0,1,3,2,0,1,4
andre-jackson-jr,0,NOR,17,2,2,0,1,0,3,3
andre-jackson-jr,1,CLE,1,0,0,0,0,0,0,0
andre-jackson-jr,2,DET,20,1,0,0,1,1,5,8
andre-jackson-jr,3,DET,15,7,0,0,0,0,2,2
andre-jackson-jr,4,CLE,23,8,0,1,0,0,2,6
andre-jackson-jr,5,SAC,10,0,1,2,0,0,5,0
andre-jackson-jr,6,GSW,28,10,2,1,0,1,1,10
andre-jackson-jr,7,BOS,16,4,4,0,0,0,5,0
andre-jackson-jr,8,UTH,26,5,3,1,0,2,2,7
andre-jackson-jr,9,HOU,12,2,0,0,2,0,3,1
andre-jackson-jr,10,SAS,5,1,0,0,0,0,1,0
andrew-nembhard,0,SAC,0,0,0,0,0,0,0,0
andrew-nembhard,1,NYK,26,3,6,0,0,0,2,10
andrew-nembhard,2,BOS,28,4,5,0,0,0,2,15
andrew-nembhard,3,MEM,37,4,9,1,1,0,3,16
andrew-nembhard,4,PHO,30,1,8,1,1,0,1,22
andrew-nembhard,5,PHI,29,2,8,6,1,1,3,19
andrew-nembhard,6,DEN,27,1,7,2,0,0,1,15
andrew-nembhard,7,PHO,25,0,6,4,1,0,3,9
andrew-nembhard,8,UTH,23,0,4,2,1,0,2,14
andrew-nembhard,9,DEN,29,2,7,2,0,0,0,12
andrew-nembhard,10,ATL,23,4,6,4,2,0,2,10
andrew-wiggins,0,MEM,30,2,0,0,1,2,0,9
andrew-wiggins,1,PHI,38,5,4,1,3,1,2,23
andrew-wiggins,2,LAL,41,5,3,2,2,1,6,22
andrew-wiggins,3,SAC,31,4,4,2,0,0,2,17
andrew-wiggins,4,ATL,29,5,1,0,0,2,4,12
andrew-wiggins,5,MEM,31,5,1,1,0,2,1,16
andrew-wiggins,6,MIL,32,4,1,0,0,0,3,7
andrew-wiggins,7,CHI,31,5,8,0,1,1,2,17
andrew-wiggins,8,NOR,23,2,2,1,0,0,2,5
